ID,NR_QUESTAO,EXECUTA,NR_ERROS,TEMPO_GASTO,USOU_COPILOT,TURMA,NOTA_DISCIPLINA,IRA,IDADE,GENERO,TEMPO_PROGRAMA(MESES),NIVEL_CONHECIMENTO_IA,USOU_COPILOT_ANTERIORMENTE,UTILIZOU_SPRING_ANTERIORMENTE,NR_ENCONTROS
8,3,1,0,6,1,1,"8,3","7,29",20,1,12,3,1,0,3
8,2,1,1,13,0,1,"8,3","7,29",20,1,12,3,1,0,3
9,4,0,5,5,1,2,10,"9,2",20,1,11,4,0,0,2
9,1,1,3,15,0,2,10,"9,2",20,1,11,4,0,0,2
9,2,0,2,5,1,2,10,"9,2",20,1,11,4,0,0,2
9,3,1,2,20,0,2,10,"9,2",20,1,11,4,0,0,2
10,4,1,1,28,0,2,10,"8,62",19,1,12,3,0,0,3
10,1,1,0,7,1,2,10,"8,62",19,1,12,3,0,0,3
10,2,1,0,24,0,2,10,"8,62",19,1,12,3,0,0,3
10,3,1,2,7,1,2,10,"8,62",19,1,12,3,0,0,3
11,3,1,0,15,1,1,"9,4","8,8",22,0,12,3,1,0,3
11,1,1,0,15,1,1,"9,4","8,8",22,0,12,3,1,0,3
11,2,1,1,8,0,1,"9,4","8,8",22,0,12,3,1,0,3
11,4,0,5,56,0,1,"9,4","8,8",22,0,12,3,1,0,3
12,4,1,0,62,0,2,10,"6,65",20,1,36,3,0,0,4
12,2,0,2,33,0,2,10,"6,65",20,1,36,3,0,0,4
12,3,1,0,12,1,2,10,"6,65",20,1,36,3,0,0,4
12,1,1,1,30,1,2,10,"6,65",20,1,36,3,0,0,4
13,4,0,10,22,0,3,0,0,43,1,24,1,0,0,2
13,2,1,1,20,0,3,0,0,43,1,24,1,0,0,2
13,1,0,4,16,1,3,0,0,43,1,24,1,0,0,2
13,3,,,17,1,3,0,0,43,1,24,1,0,0,2
14,4,0,5,15,0,3,"8,5","8,4",24,1,60,5,1,0,2
14,1,0,4,18,1,3,"8,5","8,4",24,1,60,5,1,0,2
14,2,0,2,51,0,3,"8,5","8,4",24,1,60,5,1,0,2
14,3,1,0,10,1,3,"8,5","8,4",24,1,60,5,1,0,2
16,4,0,5,39,0,2,"7,5","8,27",19,2,12,3,0,0,2
16,1,0,4,100,1,2,"7,5","8,27",19,2,12,3,0,0,2
16,2,0,2,24,0,2,"7,5","8,27",19,2,12,3,0,0,2
16,3,0,7,50,1,2,"7,5","8,27",19,2,12,3,0,0,2
17,3,1,1,6,1,1,"8,6","8,5",20,1,24,4,0,0,3
17,4,1,3,24,0,1,"8,6","8,5",20,1,24,4,0,0,3
17,1,1,1,30,1,1,"8,6","8,5",20,1,24,4,0,0,3
17,2,1,2,21,0,1,"8,6","8,5",20,1,24,4,0,0,3
18,1,1,1,35,0,3,"9,3","9,07",27,1,60,5,1,1,1
18,4,1,0,12,1,3,"9,3","9,07",27,1,60,5,1,1,1
18,3,1,0,18,0,3,"9,3","9,07",27,1,60,5,1,1,1
18,2,1,0,12,1,3,"9,3","9,07",27,1,60,5,1,1,1
19,4,1,4,71,0,2,10,"9,43",18,0,12,2,0,0,4
19,2,1,0,119,0,2,10,"9,43",18,0,12,2,0,0,4
19,1,0,4,86,1,2,10,"9,43",18,0,12,2,0,0,4
19,3,1,0,24,1,2,10,"9,43",18,0,12,2,0,0,4
20,1,0,3,14,1,1,"8,5","8,39",19,1,24,3,0,0,4
20,3,1,1,4,1,1,"8,5","8,39",19,1,24,3,0,0,4
20,2,1,0,4,0,1,"8,5","8,39",19,1,24,3,0,0,4
20,4,1,0,37,0,1,"8,5","8,39",19,1,24,3,0,0,4
21,1,0,3,8,1,1,"6,7","7,5",20,1,12,3,1,0,4
21,2,1,1,14,0,1,"6,7","7,5",20,1,12,3,1,0,4
21,3,1,0,5,1,1,"6,7","7,5",20,1,12,3,1,0,4
21,4,1,0,70,0,1,"6,7","7,5",20,1,12,3,1,0,4
22,1,1,0,31,1,2,10,"7,5",19,1,120,5,1,0,4
22,4,0,5,17,0,2,10,"7,5",19,1,120,5,1,0,4
22,3,1,0,13,1,2,10,"7,5",19,1,120,5,1,0,4
22,2,1,0,25,0,2,10,"7,5",19,1,120,5,1,0,4
23,1,1,0,25,0,2,10,9,20,1,120,3,0,0,4
23,4,1,0,16,1,2,10,9,20,1,120,3,0,0,4
23,2,1,0,4,1,2,10,9,20,1,120,3,0,0,4
23,3,1,1,12,0,2,10,9,20,1,120,3,0,0,4
24,4,1,3,29,0,2,10,"8,65",19,1,11,1,1,0,4
24,1,1,0,8,1,2,10,"8,65",19,1,11,1,1,0,4
24,3,1,0,2,1,2,10,"8,65",19,1,11,1,1,0,4
24,2,1,0,7,0,2,10,"8,65",19,1,11,1,1,0,4
25,4,1,0,26,1,2,10,"8,94",22,1,12,3,0,0,3
25,2,1,2,5,1,2,10,"8,94",22,1,12,3,0,0,3
25,3,1,0,27,0,2,10,"8,94",22,1,12,3,0,0,3
25,1,1,1,12,0,2,10,"8,94",22,1,12,3,0,0,3
26,2,0,2,15,0,1,"8,6","7,74",23,1,12,2,1,0,3
26,4,1,5,40,0,1,"8,6","7,74",23,1,12,2,1,0,3
26,1,0,4,30,1,1,"8,6","7,74",23,1,12,2,1,0,3
26,3,1,1,7,1,1,"8,6","7,74",23,1,12,2,1,0,3
27,1,0,4,41,1,3,0,0,44,1,11,1,0,0,2
27,3,1,0,66,1,3,0,0,44,1,11,1,0,0,2
28,2,1,1,11,1,3,"8,7","8,23",29,1,12,3,0,0,1
28,3,1,3,16,0,3,"8,7","8,23",29,1,12,3,0,0,1
28,1,1,1,48,0,3,"8,7","8,23",29,1,12,3,0,0,1
28,4,0,5,14,1,3,"8,7","8,23",29,1,12,3,0,0,1
29,1,1,3,34,0,3,"8,5","8,6",37,1,120,4,0,0,2
29,2,1,0,64,1,3,"8,5","8,6",37,1,120,4,0,0,2
29,3,1,0,37,0,3,"8,5","8,6",37,1,120,4,0,0,2
29,4,1,2,20,1,3,"8,5","8,6",37,1,120,4,0,0,2
30,2,1,0,44,1,3,0,0,31,0,60,3,0,0,2
30,3,1,0,41,0,3,0,0,31,0,60,3,0,0,2
30,1,1,2,82,0,3,0,0,31,0,60,3,0,0,2
30,4,1,0,82,1,3,0,0,31,0,60,3,0,0,2
31,4,0,5,5,1,2,"8,3","7,9",19,1,11,3,0,0,2
32,2,0,2,2,1,1,"9,4","8,84",20,0,24,2,0,0,4
33,3,1,1,62,0,1,"8,4","5,3",23,1,120,5,0,1,4
33,2,1,0,33,1,1,"8,4","5,3",23,1,120,5,0,1,4
33,1,1,2,35,0,1,"8,4","5,3",23,1,120,5,0,1,4
33,4,0,5,21,1,1,"8,4","5,3",23,1,120,5,0,1,4
34,3,0,3,60,0,3,0,0,29,1,24,3,0,0,2
34,1,0,4,22,0,3,0,0,29,1,24,3,0,0,2
34,4,0,5,60,1,3,0,0,29,1,24,3,0,0,2
34,2,0,2,16,1,3,0,0,29,1,24,3,0,0,2
35,2,1,0,15,1,1,9,"8,8",20,1,24,3,1,0,4
35,3,1,0,11,0,1,9,"8,8",20,1,24,3,1,0,4
35,1,1,0,21,0,1,9,"8,8",20,1,24,3,1,0,4
35,4,1,0,22,1,1,9,"8,8",20,1,24,3,1,0,4
36,4,0,5,69,1,3,0,0,43,1,11,2,0,0,2
36,2,1,0,46,1,3,0,0,43,1,11,2,0,0,2
36,3,1,1,86,1,3,0,0,43,1,11,2,0,0,2
36,1,0,4,85,1,3,0,0,43,1,11,2,0,0,2
37,4,1,0,18,1,3,"8,7","7,33",43,1,120,3,0,1,2
37,1,1,0,15,0,3,"8,7","7,33",43,1,120,3,0,1,2
37,2,1,1,4,1,3,"8,7","7,33",43,1,120,3,0,1,2
37,3,1,1,10,0,3,"8,7","7,33",43,1,120,3,0,1,2
38,1,0,3,53,0,1,"8,5","6,7",24,1,24,4,0,0,3
38,2,1,1,10,1,1,"8,5","6,7",24,1,24,4,0,0,3
38,3,1,0,82,0,1,"8,5","6,7",24,1,24,4,0,0,3
38,4,0,5,36,1,1,"8,5","6,7",24,1,24,4,0,0,3
39,1,1,1,8,0,2,"8,7","8,19",24,1,11,3,0,0,3
39,2,1,0,8,1,2,"8,7","8,19",24,1,11,3,0,0,3
39,3,1,1,6,0,2,"8,7","8,19",24,1,11,3,0,0,3
39,4,1,3,6,1,2,"8,7","8,19",24,1,11,3,0,0,3
40,2,0,2,20,1,1,"8,2","8,3",21,1,120,4,0,0,3
40,1,1,0,30,0,1,"8,2","8,3",21,1,120,4,0,0,3
40,3,1,0,10,0,1,"8,2","8,3",21,1,120,4,0,0,3
40,4,1,0,125,1,1,"8,2","8,3",21,1,120,4,0,0,3
41,4,1,0,40,1,2,10,"8,7",20,1,12,2,0,0,4
41,1,1,1,60,0,2,10,"8,7",20,1,12,2,0,0,4
41,3,1,0,60,0,2,10,"8,7",20,1,12,2,0,0,4
41,2,1,0,20,1,2,10,"8,7",20,1,12,2,0,0,4
42,4,0,5,34,1,2,"9,8","7,12",23,1,12,3,0,0,3
42,3,,,23,0,2,"9,8","7,12",23,1,12,3,0,0,3
42,1,1,0,23,0,2,"9,8","7,12",23,1,12,3,0,0,3
42,2,1,0,5,1,2,"9,8","7,12",23,1,12,3,0,0,3
43,2,1,2,10,1,1,"8,1","8,7",22,1,24,3,1,0,3
43,1,0,1,19,0,1,"8,1","8,7",22,1,24,3,1,0,3
43,4,0,5,20,1,1,"8,1","8,7",22,1,24,3,1,0,3
43,3,1,0,17,0,1,"8,1","8,7",22,1,24,3,1,0,3
44,1,1,3,49,1,2,9,"6,9",23,1,24,1,0,0,1
44,2,1,1,35,0,2,9,"6,9",23,1,24,1,0,0,1
44,3,1,0,5,1,2,9,"6,9",23,1,24,1,0,0,1
45,2,1,1,2,1,1,"9,8","9,38",20,1,24,3,1,0,3
45,1,1,2,23,0,1,"9,8","9,38",20,1,24,3,1,0,3
45,3,1,1,9,0,1,"9,8","9,38",20,1,24,3,1,0,3
45,4,1,4,6,1,1,"9,8","9,38",20,1,24,3,1,0,3
46,1,1,0,53,0,3,"8,7","5,95",48,1,120,1,0,0,1
46,2,1,1,2,1,3,"8,7","5,95",48,1,120,1,0,0,1
46,3,1,1,15,0,3,"8,7","5,95",48,1,120,1,0,0,1
46,4,1,0,10,1,3,"8,7","5,95",48,1,120,1,0,0,1
47,2,1,0,30,1,3,"8,7","8,46",22,1,60,5,0,0,4
47,1,1,0,30,0,3,"8,7","8,46",22,1,60,5,0,0,4
47,3,1,3,26,0,3,"8,7","8,46",22,1,60,5,0,0,4
47,4,1,0,17,1,3,"8,7","8,46",22,1,60,5,0,0,4
48,2,1,0,15,1,1,"8,7","6,86",24,1,36,3,1,0,3
48,1,0,1,44,0,1,"8,7","6,86",24,1,36,3,1,0,3
48,3,1,0,15,0,1,"8,7","6,86",24,1,36,3,1,0,3
48,4,1,0,37,1,1,"8,7","6,86",24,1,36,3,1,0,3
49,2,1,0,19,1,2,10,"9,3",23,1,12,2,0,0,4
49,1,1,0,33,0,2,10,"9,3",23,1,12,2,0,0,4
49,3,1,0,12,0,2,10,"9,3",23,1,12,2,0,0,4
49,4,1,0,12,1,2,10,"9,3",23,1,12,2,0,0,4
50,1,1,1,44,1,1,"9,2","8,81",21,1,24,3,0,0,4
50,2,1,0,11,0,1,"9,2","8,81",21,1,24,3,0,0,4
50,3,1,2,12,1,1,"9,2","8,81",21,1,24,3,0,0,4
50,4,0,5,37,0,1,"9,2","8,81",21,1,24,3,0,0,4
